year_month,drug_name,territory_id,units_sold,revenue,n_transactions,avg_unit_price,month,quarter,year,day_of_week,is_quarter_end,lag_1,lag_3,lag_6,rolling_mean_3,rolling_std_3,drug_encoded,territory_encoded,xgb_pred,fold,actual,predicted,lower_bound,upper_bound,residual,absolute_error,model,forecast_window
2025-05-01,Advair,TER-01,127,89207.62,2,737.56,5,2,2025,3,0,108.0,190.0,143.0,184.33333333333331,73.66365001364875,0,0,190.16164,4,127,190.16164,150.32530136108397,239.91077499389644,-63.16163635253906,63.16163635253906,XGBoost,4
2025-06-01,Advair,TER-01,210,143170.05,4,693.1425,6,2,2025,6,0,127.0,255.0,175.0,163.33333333333334,79.95206897468842,0,0,149.91689,4,210,149.91689,107.45421104431152,201.8115695953369,60.08311462402344,60.08311462402344,XGBoost,4
2025-07-01,Advair,TER-01,89,56155.44,1,630.96,7,3,2025,1,0,210.0,108.0,217.0,148.33333333333334,54.24327915358118,0,0,182.00247,4,89,182.00247,144.0741195678711,240.5085067749023,-93.00247192382812,93.00247192382812,XGBoost,4
2025-08-01,Advair,TER-01,153,101794.12,4,670.2475,8,3,2025,4,0,89.0,127.0,190.0,142.0,61.878914017619934,0,0,143.07495,4,153,143.07495,109.70771789550781,189.04672241210935,9.925048828125,9.925048828125,XGBoost,4
2025-09-01,Advair,TER-01,131,86077.48,1,657.08,9,3,2025,0,0,153.0,210.0,255.0,150.66666666666666,60.53373714990125,0,0,162.0482,4,131,162.0482,125.14977569580078,212.71329803466784,-31.048202514648438,31.048202514648438,XGBoost,4
2025-10-01,Advair,TER-01,163,108274.07,4,677.8525,10,4,2025,2,0,131.0,89.0,108.0,124.33333333333331,32.51666239535253,0,0,137.45149,4,163,137.45149,95.66523895263671,191.45840339660643,25.548507690429688,25.548507690429688,XGBoost,4
2025-11-01,Advair,TER-01,193,138152.71,4,708.19,11,4,2025,5,0,163.0,153.0,127.0,149.0,16.370705543744908,0,0,174.8457,4,193,174.8457,128.8269355773926,219.5120147705078,18.154296875,18.154296875,XGBoost,4
2025-12-01,Advair,TER-01,167,109245.54,3,659.52,12,4,2025,0,0,193.0,131.0,210.0,162.33333333333334,31.00537587795596,0,0,195.61162,4,167,195.61162,147.34474182128906,241.5707824707031,-28.611618041992188,28.611618041992188,XGBoost,4
2025-05-01,Advair,TER-02,98,65811.58,4,682.6,5,2,2025,3,0,177.0,179.0,113.0,169.66666666666666,14.468356276140463,0,1,138.48926,4,98,138.48926,100.16230239868165,189.69354019165038,-40.4892578125,40.4892578125,XGBoost,4
2025-06-01,Advair,TER-02,132,84169.06,2,641.13,6,2,2025,6,0,98.0,153.0,206.0,142.66666666666666,40.50102879351749,0,1,176.3554,4,132,176.3554,136.91021194458008,229.20979232788082,-44.35539245605469,44.35539245605469,XGBoost,4
