group_type,group_value,mean_residual,median_residual,mae,count
territory,TER-01,5.1429,3.8378,24.1185,400
territory,TER-02,3.2771,1.1158,21.2881,400
territory,TER-03,0.7982,0.4516,20.7991,400
territory,TER-04,4.4151,1.7462,18.8528,400
territory,TER-05,0.626,0.3445,17.3598,400
territory,TER-06,0.892,-0.1387,17.3267,400
territory,TER-07,1.1621,0.2139,17.0097,400
territory,TER-08,5.0053,2.7402,19.2044,400
territory,TER-09,1.2404,0.4825,16.9515,400
territory,TER-10,6.1956,1.7498,18.9606,400
territory,TER-11,5.0738,3.0212,18.8771,400
territory,TER-12,2.7928,-0.0966,16.5613,400
territory,TER-13,3.557,0.8178,14.6547,400
territory,TER-14,1.4558,0.3773,14.5644,400
territory,TER-15,1.3847,0.3409,14.3662,400
territory,TER-16,5.7841,2.5033,16.5744,400
territory,TER-17,1.2244,-0.015,16.0625,400
territory,TER-18,2.9455,0.3551,15.4726,400
territory,TER-19,0.7698,-0.0344,13.2879,400
territory,TER-20,1.5388,0.3957,14.979,400
month,2024-05-01 00:00:00,-0.2085,-2.7107,16.109,400
month,2024-06-01 00:00:00,-2.7285,-1.8974,17.1753,400
month,2024-07-01 00:00:00,-14.6284,-9.1222,17.8138,400
month,2024-08-01 00:00:00,-3.2544,-2.3244,12.1917,400
month,2024-09-01 00:00:00,10.1169,5.1379,17.8518,400
month,2024-10-01 00:00:00,18.2994,10.5116,21.2025,400
month,2024-11-01 00:00:00,-5.9736,-3.6053,15.8156,400
month,2024-12-01 00:00:00,0.3991,-0.1278,17.0015,400
month,2025-01-01 00:00:00,19.7982,11.3805,23.602,400
month,2025-02-01 00:00:00,0.4374,0.0262,17.4758,400
month,2025-03-01 00:00:00,14.353,9.6502,22.6658,400
month,2025-04-01 00:00:00,1.2636,0.7607,17.1366,400
month,2025-05-01 00:00:00,2.132,0.0025,14.758,400
month,2025-06-01 00:00:00,0.3113,0.7517,15.9448,400
month,2025-07-01 00:00:00,-5.1733,-2.4774,12.8144,400
month,2025-08-01 00:00:00,-9.0581,-5.1995,15.1224,400
month,2025-09-01 00:00:00,8.2129,4.8888,17.3088,400
month,2025-10-01 00:00:00,5.9889,2.1516,16.5455,400
month,2025-11-01 00:00:00,-0.3633,-1.2328,16.6669,400
month,2025-12-01 00:00:00,15.3567,8.5935,22.0689,400
drug,Advair,2.4773,3.3216,25.1079,400
drug,Avastin,1.0488,0.1449,6.3564,400
drug,Copaxone,2.1755,0.2542,15.1882,400
drug,Crestor,0.8525,-0.2806,30.7777,400
drug,Enbrel,1.8353,-0.0627,10.5294,400
drug,Gleevec,0.2259,0.2613,7.562,400
drug,Herceptin,0.5861,0.3749,6.0191,400
drug,Humira,1.4441,1.5842,9.8891,400
drug,Januvia,8.3639,4.4097,33.1007,400
drug,Keytruda,-0.0166,-0.508,5.2822,400
drug,Lantus,3.2525,-0.7465,26.4869,400
drug,Lipitor,11.7519,12.6358,40.7573,400
drug,Lyrica,0.6703,0.3624,31.8096,400
drug,Neulasta,1.1301,0.7032,8.2306,400
drug,Nexium,11.6783,7.9505,47.8466,400
drug,Opdivo,0.771,0.7942,5.7253,400
drug,Remicade,2.7332,2.2793,11.5846,400
drug,Revlimid,-0.0225,-0.2127,5.1319,400
drug,Rituxan,0.9308,-0.0687,6.8057,400
drug,Tecfidera,3.3931,2.389,13.0804,400
