model,fold,MAPE,MAE,RMSE,R2,n_rows
XGBoost,0,26.85462084013373,17.032700844605763,25.33932014965741,0.8323425681198132,1200
Naive,0,33.14219242964981,22.226666666666667,33.90378543270156,0.6998562710152954,1200
MovingAvg3,0,27.660473698497935,17.7175,26.759634817305624,0.813020817331028,1200
XGBoost,1,22.514979605020272,17.082034018039703,26.30379753763893,0.8134420728707588,1200
Naive,1,25.910888038624147,18.878333333333334,29.698568989094408,0.7621802881545056,1200
MovingAvg3,1,24.41573472798524,17.472777777777775,26.392128456122,0.8121870068022768,1200
XGBoost,2,22.16535671060018,18.8063640832901,29.23602969125722,0.8097802581207592,1200
Naive,2,25.406003287489217,21.515,33.332266649599454,0.7527430576653964,1200
MovingAvg3,2,20.471909454530127,17.370555555555555,26.060215172074365,0.8488616091733077,1200
XGBoost,3,21.457474339654706,19.09274791240692,28.809118436807694,0.8474867811869102,1200
Naive,3,30.86596832440528,25.9075,40.39227442634709,0.7001913453252364,1200
MovingAvg3,3,23.76481000976969,20.186944444444446,30.80199157822729,0.8256567471951612,1200
SeasonalNaive,3,24.684621159793533,21.415,32.577701985662934,0.8049758286456936,1200
XGBoost,4,20.826540485661795,16.403736149072646,25.14333144576876,0.8511582724590339,3200
Naive,4,28.3707834855666,21.42625,32.7064118331559,0.7481483135865331,3200
MovingAvg3,4,24.641267686456786,18.223020833333333,27.36832934961301,0.8236499300579656,3200
SeasonalNaive,4,24.315351038450487,18.8346875,28.57801274581562,0.807716015738624,3200
