year_month,drug_name,territory_id,actual,predicted,lower_bound,upper_bound,residual,absolute_error,model,forecast_window
2025-05-01,Advair,TER-01,127,190.16164,150.32530136108397,239.91077499389644,-63.16163635253906,63.16163635253906,XGBoost,4
2025-06-01,Advair,TER-01,210,149.91689,107.45421104431152,201.8115695953369,60.08311462402344,60.08311462402344,XGBoost,4
2025-07-01,Advair,TER-01,89,182.00247,144.0741195678711,240.5085067749023,-93.00247192382812,93.00247192382812,XGBoost,4
2025-08-01,Advair,TER-01,153,143.07495,109.70771789550781,189.04672241210935,9.925048828125,9.925048828125,XGBoost,4
2025-09-01,Advair,TER-01,131,162.0482,125.14977569580078,212.71329803466784,-31.048202514648438,31.048202514648438,XGBoost,4
2025-10-01,Advair,TER-01,163,137.45149,95.66523895263671,191.45840339660643,25.548507690429688,25.548507690429688,XGBoost,4
2025-11-01,Advair,TER-01,193,174.8457,128.8269355773926,219.5120147705078,18.154296875,18.154296875,XGBoost,4
2025-12-01,Advair,TER-01,167,195.61162,147.34474182128906,241.5707824707031,-28.611618041992188,28.611618041992188,XGBoost,4
2025-05-01,Advair,TER-02,98,138.48926,100.16230239868165,189.69354019165038,-40.4892578125,40.4892578125,XGBoost,4
2025-06-01,Advair,TER-02,132,176.3554,136.91021194458008,229.20979232788082,-44.35539245605469,44.35539245605469,XGBoost,4
2025-07-01,Advair,TER-02,146,129.09029,83.99737548828125,179.87593498229978,16.909713745117188,16.909713745117188,XGBoost,4
2025-08-01,Advair,TER-02,121,141.77466,104.60354804992676,190.54481658935546,-20.774658203125,20.774658203125,XGBoost,4
2025-09-01,Advair,TER-02,121,156.55542,118.0841293334961,204.29131164550773,-35.555419921875,35.555419921875,XGBoost,4
2025-10-01,Advair,TER-02,176,150.74074,117.39371719360352,200.8075115203857,25.259262084960938,25.259262084960938,XGBoost,4
2025-11-01,Advair,TER-02,134,109.38077,66.1676040649414,163.76068019866943,24.619232177734375,24.619232177734375,XGBoost,4
2025-12-01,Advair,TER-02,203,143.71907,100.4263671875,193.4375617980957,59.28092956542969,59.28092956542969,XGBoost,4
2025-05-01,Advair,TER-03,129,122.02216,86.10388946533203,177.62870388031004,6.977836608886719,6.977836608886719,XGBoost,4
2025-06-01,Advair,TER-03,157,159.3371,117.69486083984376,210.12436485290525,-2.33709716796875,2.33709716796875,XGBoost,4
2025-07-01,Advair,TER-03,150,133.72484,93.76389617919922,185.7047393798828,16.275161743164062,16.275161743164062,XGBoost,4
2025-08-01,Advair,TER-03,93,150.62753,109.39530487060547,209.61054611206052,-57.627532958984375,57.627532958984375,XGBoost,4
