year_month,drug_name,territory_id,units_sold,revenue,n_transactions,avg_unit_price,month,quarter,year,day_of_week,is_quarter_end,lag_1,lag_3,lag_6,rolling_mean_3,rolling_std_3,drug_encoded,territory_encoded
2024-02-01,Advair,TER-01,121,85302.03,3,683.07,2,1,2024,3,0,141.0,,,131.0,14.142135623730951,0,0
2024-03-01,Advair,TER-01,206,135570.66,1,658.11,3,1,2024,4,0,121.0,,,156.0,44.44097208657794,0,0
2024-04-01,Advair,TER-01,194,136165.2,4,709.1725,4,2,2024,0,0,206.0,141.0,,173.66666666666666,46.00362304572688,0,0
2024-05-01,Advair,TER-01,128,86574.3,2,675.735,5,2,2024,2,0,194.0,121.0,,176.0,42.00000000000001,0,0
2024-06-01,Advair,TER-01,167,106642.48000000001,3,620.7033333333334,6,2,2024,5,0,128.0,206.0,,163.0,33.18132004607412,0,0
2024-07-01,Advair,TER-01,164,121070.48999999999,3,725.8633333333333,7,3,2024,0,0,167.0,194.0,141.0,153.0,21.702534414210717,0,0
2024-08-01,Advair,TER-01,157,113470.18,1,722.74,8,3,2024,3,0,164.0,128.0,121.0,162.66666666666666,5.131601439446925,0,0
2024-09-01,Advair,TER-01,183,120882.48,1,660.56,9,3,2024,6,0,157.0,167.0,206.0,168.0,13.453624047073726,0,0
2024-10-01,Advair,TER-01,181,121800.33,1,672.93,10,4,2024,1,0,183.0,164.0,194.0,173.66666666666666,14.468356276140485,0,0
2024-11-01,Advair,TER-01,143,98678.58,1,690.06,11,4,2024,4,0,181.0,157.0,128.0,169.0,22.538855339169302,0,0
2024-12-01,Advair,TER-01,175,118502.37,2,671.9200000000001,12,4,2024,6,0,143.0,183.0,167.0,166.33333333333334,20.42873792805943,0,0
2025-01-01,Advair,TER-01,217,139804.42,1,644.26,1,1,2025,2,0,175.0,181.0,164.0,178.33333333333334,37.112441759244746,0,0
2025-02-01,Advair,TER-01,190,134156.18,4,704.245,2,1,2025,5,0,217.0,143.0,157.0,194.0,21.28379665379276,0,0
2025-03-01,Advair,TER-01,255,176747.25,3,692.59,3,1,2025,5,0,190.0,175.0,183.0,220.66666666666666,32.65475973473597,0,0
2025-04-01,Advair,TER-01,108,76975.35,3,701.6166666666668,4,2,2025,1,0,255.0,217.0,181.0,184.33333333333334,73.66365001364875,0,0
2025-05-01,Advair,TER-01,127,89207.62,2,737.56,5,2,2025,3,0,108.0,190.0,143.0,163.33333333333334,79.95206897468842,0,0
2025-06-01,Advair,TER-01,210,143170.05,4,693.1425,6,2,2025,6,0,127.0,255.0,175.0,148.33333333333334,54.24327915358118,0,0
2025-07-01,Advair,TER-01,89,56155.44,1,630.96,7,3,2025,1,0,210.0,108.0,217.0,142.0,61.878914017619934,0,0
2025-08-01,Advair,TER-01,153,101794.12,4,670.2475,8,3,2025,4,0,89.0,127.0,190.0,150.66666666666666,60.53373714990125,0,0
2025-09-01,Advair,TER-01,131,86077.48,1,657.08,9,3,2025,0,0,153.0,210.0,255.0,124.33333333333333,32.51666239535253,0,0
2025-10-01,Advair,TER-01,163,108274.07,4,677.8525,10,4,2025,2,0,131.0,89.0,108.0,149.0,16.370705543744908,0,0
2025-11-01,Advair,TER-01,193,138152.71,4,708.19,11,4,2025,5,0,163.0,153.0,127.0,162.33333333333334,31.00537587795596,0,0
2025-12-01,Advair,TER-01,167,109245.54000000001,3,659.52,12,4,2025,0,0,193.0,131.0,210.0,174.33333333333334,16.28905563049415,0,0
2024-02-01,Advair,TER-02,172,110729.68,3,664.31,2,1,2024,3,0,197.0,,,184.5,17.67766952966369,0,1
2024-03-01,Advair,TER-02,168,104593.94,3,618.6833333333333,3,1,2024,4,0,172.0,,,179.0,15.716233645501712,0,1
2024-04-01,Advair,TER-02,148,103631.08,2,698.85,4,2,2024,0,0,168.0,197.0,,162.66666666666666,12.858201014657269,0,1
2024-05-01,Advair,TER-02,168,127802.64,1,760.73,5,2,2024,2,0,148.0,172.0,,161.33333333333334,11.547005383792506,0,1
2024-06-01,Advair,TER-02,131,91572.93,1,699.03,6,2,2024,5,0,168.0,168.0,,149.0,18.52025917745213,0,1
2024-07-01,Advair,TER-02,129,91942.13,3,721.27,7,3,2024,0,0,131.0,148.0,197.0,142.66666666666666,21.962088546705502,0,1
2024-08-01,Advair,TER-02,110,75728.4,1,688.44,8,3,2024,3,0,129.0,168.0,172.0,123.33333333333333,11.590225767142451,0,1
2024-09-01,Advair,TER-02,198,143688.96000000002,3,706.3833333333333,9,3,2024,6,0,110.0,131.0,168.0,145.66666666666666,46.30694692304096,0,1
2024-10-01,Advair,TER-02,182,133684.46,1,734.53,10,4,2024,1,0,198.0,129.0,148.0,163.33333333333334,46.87572221665852,0,1
2024-11-01,Advair,TER-02,113,75456.97,4,664.475,11,4,2024,4,0,182.0,110.0,168.0,164.33333333333334,45.17004907384242,0,1
2024-12-01,Advair,TER-02,206,132181.58,3,643.3366666666667,12,4,2024,6,0,113.0,198.0,131.0,167.0,48.28043081829324,0,1
2025-01-01,Advair,TER-02,181,115343.48000000001,3,641.5433333333334,1,1,2025,2,0,206.0,182.0,129.0,166.66666666666666,48.12830075260639,0,1
2025-02-01,Advair,TER-02,179,127191.20999999999,2,710.235,2,1,2025,5,0,181.0,113.0,110.0,188.66666666666666,15.044378795195675,0,1
2025-03-01,Advair,TER-02,153,103536.49,4,673.21,3,1,2025,5,0,179.0,206.0,198.0,171.0,15.620499351813303,0,1
2025-04-01,Advair,TER-02,177,119687.4,1,676.2,4,2,2025,1,0,153.0,181.0,182.0,169.66666666666666,14.468356276140465,0,1
2025-05-01,Advair,TER-02,98,65811.58,4,682.6,5,2,2025,3,0,177.0,179.0,113.0,142.66666666666666,40.50102879351749,0,1
2025-06-01,Advair,TER-02,132,84169.06,2,641.13,6,2,2025,6,0,98.0,153.0,206.0,135.66666666666666,39.62743157628731,0,1
2025-07-01,Advair,TER-02,146,107376.31,4,710.99,7,3,2025,1,0,132.0,177.0,181.0,125.33333333333333,24.6846781087648,0,1
2025-08-01,Advair,TER-02,121,83528.72,1,690.32,8,3,2025,4,0,146.0,98.0,179.0,133.0,12.529964086141623,0,1
2025-09-01,Advair,TER-02,121,76514.08,2,651.73,9,3,2025,0,0,121.0,132.0,153.0,129.33333333333334,14.433756729740606,0,1
2025-10-01,Advair,TER-02,176,120372.38,4,678.7325,10,4,2025,2,0,121.0,146.0,177.0,139.33333333333334,31.754264805429397,0,1
2025-11-01,Advair,TER-02,134,96568.20000000001,2,702.115,11,4,2025,5,0,176.0,121.0,98.0,143.66666666666666,28.746014216467156,0,1
2025-12-01,Advair,TER-02,203,140263.89,2,696.24,12,4,2025,0,0,134.0,121.0,132.0,171.0,34.7706773014274,0,1
2024-02-01,Advair,TER-03,162,106314.7,3,661.0033333333333,2,1,2024,3,0,157.0,,,159.5,3.5355339059327378,0,2
2024-03-01,Advair,TER-03,210,137983.42,3,676.7199999999999,3,1,2024,4,0,162.0,,,176.33333333333334,29.263173671584788,0,2
2024-04-01,Advair,TER-03,122,83637.1,4,693.11,4,2,2024,0,0,210.0,157.0,,164.66666666666666,44.06056437828881,0,2
2024-05-01,Advair,TER-03,100,67156.29000000001,4,671.375,5,2,2024,2,0,122.0,162.0,,144.0,58.20652884342098,0,2
2024-06-01,Advair,TER-03,103,64176.21,1,623.07,6,2,2024,5,0,100.0,210.0,,108.33333333333333,11.930353445448814,0,2
2024-07-01,Advair,TER-03,96,66165.12,4,702.0625,7,3,2024,0,0,103.0,122.0,157.0,99.66666666666667,3.5118845842841107,0,2
2024-08-01,Advair,TER-03,125,88010.25,3,707.07,8,3,2024,3,0,96.0,100.0,162.0,108.0,15.132745950421524,0,2
2024-09-01,Advair,TER-03,87,57172.05,1,657.15,9,3,2024,6,0,125.0,103.0,210.0,102.66666666666667,19.857828011475284,0,2
2024-10-01,Advair,TER-03,164,109443.76,1,667.34,10,4,2024,1,0,87.0,96.0,122.0,125.33333333333333,38.5010822358714,0,2
2024-11-01,Advair,TER-03,107,71632.25,3,650.8466666666667,11,4,2024,4,0,164.0,125.0,100.0,119.33333333333333,39.95414037785486,0,2
2024-12-01,Advair,TER-03,177,116269.87,2,658.075,12,4,2024,6,0,107.0,87.0,103.0,149.33333333333334,37.23349746308198,0,2
2025-01-01,Advair,TER-03,110,82620.24,3,746.7266666666668,1,1,2025,2,0,177.0,164.0,96.0,131.33333333333334,39.57692930652065,0,2
2025-02-01,Advair,TER-03,167,113224.34,2,663.085,2,1,2025,5,0,110.0,107.0,125.0,151.33333333333334,36.14323357605587,0,2
2025-03-01,Advair,TER-03,137,89533.75,4,659.415,3,1,2025,5,0,167.0,177.0,87.0,138.0,28.513154858766494,0,2
2025-04-01,Advair,TER-03,126,87423.70000000001,4,690.045,4,2,2025,1,0,137.0,110.0,164.0,143.33333333333334,21.221058723196,0,2
2025-05-01,Advair,TER-03,129,85050.12,4,657.0274999999999,5,2,2025,3,0,126.0,167.0,107.0,130.66666666666666,5.686240703077306,0,2
2025-06-01,Advair,TER-03,157,107200.43,4,683.155,6,2,2025,6,0,129.0,137.0,177.0,137.33333333333334,17.097758137642884,0,2
2025-07-01,Advair,TER-03,150,98470.62,2,671.7,7,3,2025,1,0,157.0,126.0,110.0,145.33333333333334,14.571661996262947,0,2
2025-08-01,Advair,TER-03,93,67060.38,3,676.8333333333334,8,3,2025,4,0,150.0,129.0,167.0,133.33333333333334,35.10460558578223,0,2
2025-09-01,Advair,TER-03,112,76790.2,4,656.5899999999999,9,3,2025,0,0,93.0,157.0,137.0,118.33333333333333,29.02297940138697,0,2
2025-10-01,Advair,TER-03,104,71847.36,1,690.84,10,4,2025,2,0,112.0,150.0,126.0,103.0,9.539392014169351,0,2
2025-11-01,Advair,TER-03,107,71463.16,1,667.88,11,4,2025,5,0,104.0,93.0,129.0,107.66666666666667,4.041451884327158,0,2
2025-12-01,Advair,TER-03,176,121174.83,2,689.925,12,4,2025,0,0,107.0,112.0,157.0,129.0,40.730823708832595,0,2
2024-02-01,Advair,TER-04,109,80420.2,1,737.8,2,1,2024,3,0,101.0,,,105.0,5.656854249492381,0,3
2024-03-01,Advair,TER-04,157,108495.72,4,684.7075,3,1,2024,4,0,109.0,,,122.33333333333333,30.287511177601463,0,3
2024-04-01,Advair,TER-04,133,94354.19,1,709.43,4,2,2024,0,0,157.0,101.0,,133.0,24.000000000000004,0,3
2024-05-01,Advair,TER-04,112,75025.01,4,672.5675,5,2,2024,2,0,133.0,109.0,,134.0,22.51666049839541,0,3
2024-06-01,Advair,TER-04,174,116916.66,3,659.2866666666667,6,2,2024,5,0,112.0,157.0,,139.66666666666666,31.533051443419392,0,3
2024-07-01,Advair,TER-04,71,45048.99,4,652.2375,7,3,2024,0,0,174.0,133.0,101.0,119.0,51.85556864985669,0,3
2024-08-01,Advair,TER-04,101,60242.46,1,596.46,8,3,2024,3,0,71.0,112.0,109.0,115.33333333333333,52.97483679383386,0,3
2024-09-01,Advair,TER-04,155,105970.72,4,675.905,9,3,2024,6,0,101.0,174.0,157.0,109.0,42.56759330758553,0,3
2024-10-01,Advair,TER-04,145,102053.69,3,662.8533333333334,10,4,2024,1,0,155.0,71.0,133.0,133.66666666666666,28.72861523522033,0,3
2024-11-01,Advair,TER-04,103,68920.45999999999,4,664.5649999999999,11,4,2024,4,0,145.0,101.0,112.0,134.33333333333334,27.59226944876652,0,3
2024-12-01,Advair,TER-04,142,99590.28,1,701.34,12,4,2024,6,0,103.0,155.0,174.0,130.0,23.430749027719987,0,3
2025-01-01,Advair,TER-04,191,120998.32,4,663.895,1,1,2025,2,0,142.0,145.0,71.0,145.33333333333334,44.094595284834334,0,3
