sale_date,drug_name,territory_id,units_sold,unit_price,revenue
2024-01-01,Lipitor,TER-04,44,384.66,16925.04
2024-01-01,Rituxan,TER-05,6,5568.08,33408.48
2024-01-01,Crestor,TER-10,123,421.94,51898.62
2024-01-01,Avastin,TER-20,18,5666.77,102001.86
2024-01-01,Lantus,TER-03,2,948.96,1897.92
2024-01-01,Herceptin,TER-08,1,6361.43,6361.43
2024-01-01,Advair,TER-12,17,713.1,12122.7
2024-01-01,Nexium,TER-15,5,312.71,1563.55
2024-01-01,Nexium,TER-15,29,283.78,8229.62
2024-01-01,Lipitor,TER-16,200,350.99,70198.0
2024-01-01,Herceptin,TER-03,1,6306.5,6306.5
2024-01-01,Herceptin,TER-01,53,6469.17,342866.01
2024-01-01,Remicade,TER-16,16,2669.98,42719.68
2024-01-01,Herceptin,TER-03,14,6546.52,91651.28
2024-01-01,Nexium,TER-18,13,270.57,3517.41
2024-01-01,Copaxone,TER-19,16,1112.32,17797.12
2024-01-01,Lantus,TER-14,44,886.72,39015.68
2024-01-01,Enbrel,TER-02,5,2578.86,12894.3
2024-01-01,Opdivo,TER-01,21,7431.34,156058.14
2024-01-01,Lyrica,TER-18,38,427.37,16240.06
2024-01-01,Neulasta,TER-01,23,4231.41,97322.43
2024-01-01,Lipitor,TER-08,194,393.49,76337.06
2024-01-01,Lyrica,TER-08,46,436.08,20059.68
2024-01-01,Lipitor,TER-06,42,325.91,13688.22
2024-01-01,Gleevec,TER-15,2,4605.34,9210.68
2024-01-01,Tecfidera,TER-06,42,1935.46,81289.32
2024-01-01,Humira,TER-17,6,3228.13,19368.78
2024-01-01,Lantus,TER-09,13,999.15,12988.95
2024-01-01,Opdivo,TER-05,14,7103.04,99442.56
2024-01-01,Herceptin,TER-17,4,6942.04,27768.16
2024-01-01,Remicade,TER-03,1,2347.9,2347.9
2024-01-01,Herceptin,TER-02,30,6677.45,200323.5
2024-01-01,Keytruda,TER-01,1,8785.0,8785.0
2024-01-01,Rituxan,TER-20,2,4758.32,9516.64
2024-01-01,Avastin,TER-17,6,6079.4,36476.4
2024-01-01,Januvia,TER-02,36,584.92,21057.12
2024-01-01,Tecfidera,TER-20,1,1639.91,1639.91
2024-01-01,Neulasta,TER-09,18,3817.79,68720.22
2024-01-02,Revlimid,TER-14,11,6834.59,75180.49
2024-01-02,Enbrel,TER-10,31,2740.37,84951.47
2024-01-02,Revlimid,TER-06,6,7187.29,43123.74
2024-01-02,Neulasta,TER-05,10,3949.21,39492.1
2024-01-02,Avastin,TER-10,7,5721.58,40051.06
2024-01-02,Neulasta,TER-04,1,3686.95,3686.95
2024-01-02,Lyrica,TER-03,3,445.6,1336.8
2024-01-02,Humira,TER-01,31,2867.41,88889.71
2024-01-02,Lyrica,TER-02,28,490.92,13745.76
2024-01-02,Rituxan,TER-05,1,5316.32,5316.32
2024-01-02,Copaxone,TER-03,32,1215.46,38894.72
2024-01-02,Crestor,TER-19,99,413.87,40973.13
2024-01-02,Tecfidera,TER-20,10,1801.0,18010.0
2024-01-02,Opdivo,TER-16,12,7234.97,86819.64
2024-01-02,Opdivo,TER-18,1,7344.39,7344.39
2024-01-02,Tecfidera,TER-18,13,1784.5,23198.5
2024-01-02,Copaxone,TER-06,22,1219.85,26836.7
2024-01-02,Copaxone,TER-10,38,1186.99,45105.62
2024-01-02,Opdivo,TER-17,19,6920.28,131485.32
2024-01-02,Nexium,TER-05,59,273.04,16109.36
2024-01-02,Januvia,TER-07,67,589.65,39506.55
2024-01-02,Lyrica,TER-13,120,452.17,54260.4
2024-01-02,Keytruda,TER-09,3,8198.42,24595.26
2024-01-02,Tecfidera,TER-16,37,1829.88,67705.56
2024-01-02,Lyrica,TER-07,17,461.73,7849.41
2024-01-02,Gleevec,TER-07,10,4157.9,41579.0
2024-01-02,Lyrica,TER-11,58,382.81,22202.98
2024-01-02,Lipitor,TER-01,62,364.35,22589.7
2024-01-02,Nexium,TER-19,15,268.79,4031.85
2024-01-02,Advair,TER-14,49,725.26,35537.74
2024-01-02,Herceptin,TER-11,19,6068.06,115293.14
2024-01-02,Gleevec,TER-09,2,3978.63,7957.26
2024-01-02,Januvia,TER-11,17,568.11,9657.87
2024-01-03,Copaxone,TER-02,78,1225.84,95615.52
2024-01-03,Remicade,TER-07,35,2587.88,90575.8
2024-01-03,Lyrica,TER-11,81,454.77,36836.37
2024-01-03,Enbrel,TER-04,3,2845.84,8537.52
2024-01-03,Januvia,TER-02,131,524.4,68696.4
2024-01-03,Remicade,TER-02,4,2735.68,10942.72
2024-01-03,Remicade,TER-07,3,2562.71,7688.13
2024-01-03,Enbrel,TER-06,21,2705.17,56808.57
2024-01-03,Rituxan,TER-12,10,5007.03,50070.3
2024-01-03,Lantus,TER-15,22,943.18,20749.96
2024-01-03,Lyrica,TER-16,5,428.15,2140.75
2024-01-03,Remicade,TER-11,9,2567.65,23108.85
